mins_played,shots,xg_per_shot,is_forward,goals,shot_conv,name,team,actual_goals,counterfactual_goals,causal_advantage,display_name,Club,Shot Conversion (%),Actual Goals,Goals At Median Conversion,Causal Finishing Advantage
2778,67,0.09,1,8,11.94,Jarrod Bowen,West Ham United FC,8.0,9.4,-1.43,Bowen,West Ham United FC,11.9,8,9.4,-1.43
1046,32,0.2,1,5,15.62,Callum Wilson,West Ham United FC,5.0,4.8,0.21,C. Wilson,West Ham United FC,15.6,5,4.8,0.21
2305,62,0.17,1,9,14.52,Ollie Watkins,Aston Villa FC,9.0,9.3,-0.28,Watkins,Aston Villa FC,14.5,9,9.3,-0.28
2757,72,0.08,1,8,11.11,Morgan Rogers,Aston Villa FC,8.0,9.8,-1.8,Rogers,Aston Villa FC,11.1,8,9.8,-1.8
1457,40,0.07,0,5,12.5,Emiliano Buendía,Aston Villa FC,5.0,6.2,-1.18,Buendía,Aston Villa FC,12.5,5,6.2,-1.18
1504,45,0.14,1,9,20.0,Richarlison,Tottenham Hotspur FC,9.0,6.8,2.16,Richarlison,Tottenham Hotspur FC,20.0,9,6.8,2.16
2646,65,0.13,0,9,13.85,Morgan Gibbs-White,Nottingham Forest FC,9.0,9.6,-0.58,Gibbs-White,Nottingham Forest FC,13.8,9,9.6,-0.58
1743,47,0.19,1,6,12.77,Anthony Gordon,Newcastle United FC,6.0,7.1,-1.06,Gordon,Newcastle United FC,12.8,6,7.1,-1.06
1657,50,0.12,0,5,10.0,Harvey Barnes,Newcastle United FC,5.0,7.3,-2.3,Barnes,Newcastle United FC,10.0,5,7.3,-2.3
1674,31,0.21,1,7,22.58,Nick Woltemade,Newcastle United FC,7.0,3.7,3.31,Woltemade,Newcastle United FC,22.6,7,3.7,3.31
1368,24,0.16,1,6,25.0,Brian Brobbey,Sunderland AFC,6.0,1.6,4.39,Brobbey,Sunderland AFC,25.0,6,1.6,4.39
2217,45,0.22,0,7,15.56,Kevin Schade,Brentford FC,7.0,6.8,0.18,Schade,Brentford FC,15.6,7,6.8,0.18
1718,36,0.15,1,5,13.89,Dango Ouattara,Brentford FC,5.0,5.6,-0.56,Ouattara,Brentford FC,13.9,5,5.6,-0.56
2654,71,0.25,1,19,26.76,Igor Thiago,Brentford FC,19.0,13.8,5.18,Igor Thiago,Brentford FC,26.8,19,13.8,5.18
2119,58,0.2,1,10,17.24,Dominic Calvert-Lewin,Leeds United FC,10.0,9.1,0.93,DCL,Leeds United FC,17.2,10,9.1,0.93
874,22,0.28,1,6,27.27,Lukas Nmecha,Leeds United FC,6.0,0.6,5.41,Nmecha,Leeds United FC,27.3,6,0.6,5.41
1645,32,0.19,1,6,18.75,Thierno Barry,Everton FC,6.0,4.4,1.61,Barry,Everton FC,18.8,6,4.4,1.61
1205,32,0.22,1,6,18.75,Beto,Everton FC,6.0,4.4,1.61,Beto,Everton FC,18.8,6,4.4,1.61
2323,63,0.21,1,14,22.22,João Pedro,Chelsea FC,14.0,10.8,3.15,Joao Pedro,Chelsea FC,22.2,14,10.8,3.15
2013,30,0.11,0,6,20.0,Kiernan Dewsbury-Hall,Everton FC,6.0,3.8,2.16,Dewsbury-Hall,Everton FC,20.0,6,3.8,2.16
2219,40,0.11,1,5,12.5,Pedro Neto,Chelsea FC,5.0,6.2,-1.18,Neto,Chelsea FC,12.5,5,6.2,-1.18
1426,45,0.19,0,9,20.0,Cole Palmer,Chelsea FC,9.0,6.8,2.16,Palmer,Chelsea FC,20.0,9,6.8,2.16
2583,60,0.17,0,8,13.33,Enzo Fernández,Chelsea FC,8.0,8.8,-0.81,Fernández,Chelsea FC,13.3,8,8.8,-0.81
2156,31,0.16,1,6,19.35,Iliman Ndiaye,Everton FC,6.0,4.1,1.87,Ndiaye,Everton FC,19.4,6,4.1,1.87
1190,38,0.16,1,8,21.05,Zian Flemming,Burnley FC,8.0,5.4,2.63,Flemming,Burnley FC,21.0,8,5.4,2.63
