goals,xg,shot_conv,xg_per_shot,goals_vs_xg,name,last_name,team,clinicality_score
8,6.2,11.94,0.09,1.8,Jarrod Bowen,Bowen,West Ham United FC,16.697190587788302
5,6.55,15.62,0.2,-1.55,Callum Wilson,Wilson,West Ham United FC,29.60781707182641
9,10.33,14.52,0.17,-1.33,Ollie Watkins,Watkins,Aston Villa FC,40.19316993410042
8,5.8,11.11,0.08,2.2,Morgan Rogers,Rogers,Aston Villa FC,13.710499114555958
5,2.92,12.5,0.07,2.08,Emiliano Buendía,Buendía,Aston Villa FC,2.1096646438183217
9,6.26,20.0,0.14,2.74,Richarlison,de Andrade,Tottenham Hotspur FC,33.605616023867526
9,8.34,13.85,0.13,0.66,Morgan Gibbs-White,Gibbs-White,Nottingham Forest FC,30.213507966201426
6,8.79,12.77,0.19,-2.79,Anthony Gordon,Gordon,Newcastle United FC,31.935441725569504
5,6.16,10.0,0.12,-1.16,Harvey Barnes,Barnes,Newcastle United FC,12.652470550476119
7,6.39,22.58,0.21,0.61,Nick Woltemade,Woltemade,Newcastle United FC,41.70312238564565
6,3.82,25.0,0.16,2.18,Brian Brobbey,Brobbey,Sunderland AFC,30.553456948867673
7,9.95,15.56,0.22,-2.95,Kevin Schade,Schade,Brentford FC,43.0487978238284
5,5.32,13.89,0.15,-0.32,Dango Ouattara,Ouattara,Brentford FC,18.82225855873575
19,17.51,26.76,0.25,1.49,Igor Thiago,Nascimento Rodrigues,Brentford FC,97.49441671244996
10,11.59,17.24,0.2,-1.59,Dominic Calvert-Lewin,Calvert-Lewin,Leeds United FC,51.44186413709358
6,6.23,27.27,0.28,-0.23,Lukas Nmecha,Nmecha,Leeds United FC,53.331677213902914
6,6.14,18.75,0.19,-0.14,Thierno Barry,Barry,Everton FC,32.6786224426072
6,7.17,18.75,0.22,-1.17,Beto,Gomes Betuncal,Everton FC,38.67019007336575
14,13.54,22.22,0.21,0.46,João Pedro,Junqueira de Jesus,Chelsea FC,69.7086958239855
6,3.32,20.0,0.11,2.68,Kiernan Dewsbury-Hall,Dewsbury-Hall,Everton FC,17.85999311699263
5,4.35,12.5,0.11,0.65,Pedro Neto,Lomba Neto,Chelsea FC,10.216747600228206
9,8.59,20.0,0.19,0.41,Cole Palmer,Palmer,Chelsea FC,44.87226826532705
8,10.42,13.33,0.17,-2.42,Enzo Fernández,Fernández,Chelsea FC,37.21014091491562
6,5.08,19.35,0.16,0.92,Iliman Ndiaye,Ndiaye,Everton FC,27.25417746410234
8,6.02,21.05,0.16,1.98,Zian Flemming,Flemming,Burnley FC,34.84518169639756
7,3.96,15.22,0.09,3.04,Jaidon Anthony,Anthony,Burnley FC,13.540625996948478
9,10.96,14.06,0.17,-1.96,Raúl Jiménez,Jiménez,Fulham FC,41.02585740741548
10,5.07,15.15,0.08,4.93,Harry Wilson,Wilson,Fulham FC,20.27045009274944
5,3.86,8.62,0.07,1.14,Dominik Szoboszlai,Szoboszlai,Liverpool FC,0.0
12,10.36,27.91,0.24,1.64,Danny Welbeck,Welbeck,Brighton & Hove Albion FC,69.03776287090396
11,9.9,16.92,0.15,1.1,Hugo Ekitiké,Ekitiké,Liverpool FC,43.09764887283278
5,5.33,14.29,0.15,-0.33,Diego Gómez,Gómez,Brighton & Hove Albion FC,19.262983564468787
6,6.68,8.7,0.1,-0.68,Cody Gakpo,Gakpo,Liverpool FC,11.735172641118469
6,8.17,10.34,0.14,-2.17,Evanilson,de Lima Barbosa,AFC Bournemouth,21.688902171490938
5,7.18,8.62,0.12,-2.18,Marcus Tavernier,Tavernier,AFC Bournemouth,13.3338790810682
9,5.91,26.47,0.17,3.09,Junior Kroupi,Kroupi,AFC Bournemouth,43.50657023855321
7,4.66,16.28,0.11,2.34,Casemiro,Casimiro,Manchester United FC,18.675432261715905
7,5.93,9.72,0.08,1.07,Matheus Cunha,Santos Carneiro da Cunha,Manchester United FC,10.601072448850488
8,10.35,10.96,0.14,-2.35,Bruno Fernandes,Borges Fernandes,Manchester United FC,30.73558162142231
9,7.17,16.98,0.14,1.83,Benjamin Sesko,Sesko,Manchester United FC,32.33597258455719
9,8.19,15.0,0.14,0.81,Bryan Mbeumo,Mbeumo,Manchester United FC,32.38761522533168
5,6.82,8.77,0.12,-1.82,Mohamed Salah,Salah Hamed Mahrous Ghaly,Liverpool FC,12.739601702755815
7,7.97,20.59,0.23,-0.97,Ismaïla Sarr,Sarr,Crystal Palace FC,45.474153679047966
8,12.08,14.55,0.22,-4.08,Jean-Philippe Mateta,Mateta,Crystal Palace FC,48.35828482674387
22,21.01,21.57,0.21,0.99,Erling Haaland,Haaland,Manchester City FC,100.0
15,9.86,22.06,0.14,5.14,Antoine Semenyo,Semenyo,Manchester City FC,54.816539055672045
7,5.47,13.73,0.11,1.53,Phil Foden,Foden,Manchester City FC,17.69029464421637
5,3.99,12.2,0.1,1.01,Tijjani Reijnders,Reijnders,Manchester City FC,7.869873646419939
6,6.99,9.52,0.11,-0.99,Bukayo Saka,Saka,Arsenal FC,14.523438303495489
6,3.75,12.24,0.08,2.25,Eberechi Eze,Eze,Arsenal FC,6.772090872702831
11,9.35,25.58,0.22,1.65,Viktor Gyökeres,Gyökeres,Arsenal FC,60.00071563412407
5,2.78,19.23,0.11,2.22,Martín Zubimendi,Zubimendi,Arsenal FC,14.002292231838274
5,4.82,11.36,0.11,0.18,Leandro Trossard,Trossard,Arsenal FC,10.00160313140918
5,4.27,11.63,0.1,0.73,Crysencio Summerville,Summerville,West Ham United FC,7.856266268356281
9,4.82,28.12,0.15,4.18,Bruno Guimarães,Guimarães Rodriguez Moura,Newcastle United FC,40.40184448779794
