competition,player_id,name,first_name,last_name,team,position,age,apps,mins_played,goals_pl,xg_pl,goals_vs_xg_pl,shots,shots_on_target,shot_conv_pl,xg_per_shot,mins_per_goal_pl,goals_ucl,xg_ucl,shot_conv_ucl,mins_per_goal_ucl,goals_vs_xg_ucl
Premier League,510663,Hugo Ekitiké,Hugo,Ekitiké,Liverpool FC,Forward,23.75,27,1802,11,9.9,1.1,65,19,16.92,0.15,163.8181818181818,2,5.03,7.14,320.0,-3.03
Premier League,243298,Cody Gakpo,Cody,Gakpo,Liverpool FC,Forward,26.88,28,2062,6,6.58,-0.58,67,15,8.96,0.1,343.6666666666667,2,2.32,12.5,198.5,-0.32
Premier League,118748,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly,Liverpool FC,Forward,33.77,22,1820,5,6.82,-1.82,57,14,8.77,0.12,364.0,2,2.53,11.11,277.0,-0.53
Premier League,424876,Dominik Szoboszlai,Dominik,Szoboszlai,Liverpool FC,Midfielder,25.41,28,2513,5,3.76,1.24,55,19,9.09,0.07,502.6,4,2.53,17.39,198.75,1.47
Premier League,209244,Phil Foden,Phil,Foden,Manchester City FC,Midfielder,25.82,26,1813,7,5.47,1.53,51,17,13.73,0.11,259.0,2,1.0,13.33,254.0,1.0
Premier League,223094,Erling Haaland,Erling,Haaland,Manchester City FC,Forward,25.67,29,2418,22,21.01,0.99,102,49,21.57,0.21,109.9090909090909,7,5.69,25.0,99.85714285714286,1.31
Premier League,224117,Viktor Gyökeres,Viktor,Gyökeres,Arsenal FC,Forward,27.8,29,1900,11,9.35,1.65,43,17,25.58,0.22,172.72727272727272,4,4.23,20.0,116.5,-0.23
Premier League,223340,Bukayo Saka,Bukayo,Saka,Arsenal FC,Forward,24.54,27,2001,6,6.99,-0.99,63,26,9.52,0.11,333.5,2,1.8,10.0,217.0,0.2
Premier League,201666,Harvey Barnes,Harvey,Barnes,Newcastle United FC,Midfielder,28.28,29,1581,5,6.11,-1.11,49,18,10.2,0.12,316.2,6,4.06,22.22,119.66666666666669,1.94
Premier League,448047,Enzo Fernández,Enzo,Fernández,Chelsea FC,Midfielder,25.18,29,2493,8,10.05,-2.05,57,24,14.04,0.18,311.625,3,3.31,17.65,229.33333333333337,-0.31
Premier League,475168,João Pedro,João Pedro,Junqueira de Jesus,Chelsea FC,Forward,24.48,30,2245,14,13.43,0.57,61,26,22.95,0.22,160.35714285714286,3,2.38,30.0,157.66666666666666,0.62
Premier League,232826,Anthony Gordon,Anthony,Gordon,Newcastle United FC,Forward,25.07,24,1654,5,8.31,-3.31,44,19,11.36,0.19,330.8,10,8.39,40.0,68.9,1.61
