name,team,goals,xg,shot_conv,xg_per_shot,goals_vs_xg,Competition,display_name,Club,Goals,xG Per Shot,Shot Conversion (%),Goals vs xG
Erling Haaland,Manchester City FC,22,21.01,21.57,0.21,0.99,Premier League,Haaland,Manchester City FC,22,0.21,21.6,0.99
Igor Thiago,Brentford FC,19,17.51,26.76,0.25,1.49,Premier League,Igor Thiago,Brentford FC,19,0.25,26.8,1.49
João Pedro,Chelsea FC,14,13.54,22.22,0.21,0.46,Premier League,Joao Pedro,Chelsea FC,14,0.21,22.2,0.46
Danny Welbeck,Brighton & Hove Albion FC,12,10.36,27.91,0.24,1.64,Premier League,Welbeck,Brighton & Hove Albion FC,12,0.24,27.9,1.64
Viktor Gyökeres,Arsenal FC,11,9.35,25.58,0.22,1.65,Premier League,Gyökeres,Arsenal FC,11,0.22,25.6,1.65
Antoine Semenyo,Manchester City FC,15,9.86,22.06,0.14,5.14,Premier League,Semenyo,Manchester City FC,15,0.14,22.1,5.14
Lukas Nmecha,Leeds United FC,6,6.23,27.27,0.28,-0.23,Premier League,Nmecha,Leeds United FC,6,0.28,27.3,-0.23
Dominic Calvert-Lewin,Leeds United FC,10,11.59,17.24,0.2,-1.59,Premier League,DCL,Leeds United FC,10,0.2,17.2,-1.59
Jean-Philippe Mateta,Crystal Palace FC,8,12.08,14.55,0.22,-4.08,Premier League,Mateta,Crystal Palace FC,8,0.22,14.6,-4.08
Ismaïla Sarr,Crystal Palace FC,7,7.97,20.59,0.23,-0.97,Premier League,I. Sarr,Crystal Palace FC,7,0.23,20.6,-0.97
Kylian Mbappé,Real Madrid CF,13,8.22,28.89,0.18,4.78,Champions League (Non-PL),Mbappé,Real Madrid CF,13,0.18,28.9,4.78
Harry Kane,FC Bayern München,8,6.6,27.59,0.23,1.4,Champions League (Non-PL),Kane,FC Bayern München,8,0.23,27.6,1.4
Julián Alvarez,Club Atlético de Madrid,7,6.27,24.14,0.22,0.73,Champions League (Non-PL),J. Alvarez,Club Atlético de Madrid,7,0.22,24.1,0.73
Victor Osimhen,Galatasaray Spor Kulübü,7,7.68,17.07,0.19,-0.68,Champions League (Non-PL),Osimhen,Galatasaray Spor Kulübü,7,0.19,17.1,-0.68
Jens Petter Hauge,FK Bodø / Glimt,6,2.92,33.33,0.16,3.08,Champions League (Non-PL),Hauge,FK Bodø / Glimt,6,0.16,33.3,3.08
Vitinha,Paris Saint-Germain FC,6,3.07,17.14,0.09,2.93,Champions League (Non-PL),Vitinha,Paris Saint-Germain FC,6,0.09,17.1,2.93
Khvicha Kvaratskhelia,Paris Saint-Germain FC,6,2.04,20.0,0.07,3.96,Champions League (Non-PL),Kvara,Paris Saint-Germain FC,6,0.07,20.0,3.96
Kasper Høgh,FK Bodø / Glimt,5,5.21,20.0,0.21,-0.21,Champions League (Non-PL),Høgh,FK Bodø / Glimt,5,0.21,20.0,-0.21
Alexander Sørloth,Club Atlético de Madrid,5,3.91,19.23,0.15,1.09,Champions League (Non-PL),Sørloth,Club Atlético de Madrid,5,0.15,19.2,1.09
Fermín López,FC Barcelona,5,2.13,25.0,0.11,2.87,Champions League (Non-PL),F. López,FC Barcelona,5,0.11,25.0,2.87
