competition,player_id,name,first_name,last_name,team,position,age,apps,mins_played,goals,xg,goals_vs_xg,shots,shots_on_target,shot_conv,xg_per_shot,mins_per_goal
Premier League,149484,Tyrone Mings,Tyrone,Mings,Aston Villa FC,Defender,33.06,13,963,0,1.07,-1.07,7,0,0.0,0.15,
Premier League,214590,Aaron Wan-Bissaka,Aaron,Wan-Bissaka,West Ham United FC,Defender,28.35,22,1906,0,0.0,0.0,0,0,0.0,0.0,
Premier League,230046,Douglas Luiz,Douglas Luiz,Soares de Paulo,Aston Villa FC,Midfielder,27.9,16,810,1,0.49,0.51,10,4,10.0,0.05,810.0
Premier League,515597,Lamare Bogarde,Lamare,Bogarde,Aston Villa FC,Midfielder,22.24,24,800,0,0.0,0.0,0,0,0.0,0.0,
Premier League,214048,Maximilian Kilman,Maximilian,Kilman,West Ham United FC,Defender,28.86,21,1559,0,0.57,-0.57,7,1,0.0,0.08,
Premier League,441302,Ian Maatsen,Ian,Maatsen,Aston Villa FC,Defender,24.06,24,1258,0,1.07,-1.07,17,4,0.0,0.06,
Premier League,178186,Jarrod Bowen,Jarrod,Bowen,West Ham United FC,Forward,29.28,31,2778,8,6.2,1.8,67,23,11.94,0.09,347.25
Premier League,209243,Jadon Sancho,Jadon,Sancho,Aston Villa FC,Forward,26.02,19,761,0,0.6,-0.6,10,3,0.0,0.06,
Premier League,247670,Valentín Castellanos,Valentín,Castellanos,West Ham United FC,Forward,27.5,11,866,2,2.67,-0.67,22,8,9.09,0.12,433.0
Premier League,166989,Youri Tielemans,Youri,Tielemans,Aston Villa FC,Midfielder,28.9,18,1322,0,0.99,-0.99,17,4,0.0,0.06,
Premier League,75115,Callum Wilson,Callum,Wilson,West Ham United FC,Forward,34.1,25,1046,5,6.55,-1.55,32,12,15.62,0.2,209.2
Premier League,173879,Tammy Abraham,Tammy,Abraham,Aston Villa FC,Forward,28.5,8,196,1,1.26,-0.26,7,2,14.29,0.18,196.0
Premier League,199796,Matty Cash,Matty,Cash,Aston Villa FC,Defender,28.65,28,2446,3,1.14,1.86,27,9,11.11,0.04,815.3333333333334
Premier League,530335,Pablo,Pablo Felipe,Pereira de Jesus,West Ham United FC,Forward,22.24,7,407,0,0.54,-0.54,6,0,0.0,0.09,
Premier League,101188,Lucas Digne,Lucas,Digne,Aston Villa FC,Defender,32.7,26,1558,0,0.63,-0.63,12,5,0.0,0.05,
Premier League,630699,Mohamadou Kanté,Mohamadou,Kanté,West Ham United FC,Midfielder,20.53,8,32,0,0.09,-0.09,2,0,0.0,0.05,
Premier League,490142,Freddie Potts,Freddie,Potts,West Ham United FC,Midfielder,22.55,20,1144,0,0.21,-0.21,3,1,0.0,0.07,
Premier League,215711,Leon Bailey,Leon,Bailey,Aston Villa FC,Forward,28.65,9,336,0,0.3,-0.3,6,1,0.0,0.05,
Premier League,233963,Konstantinos Mavropanos,Konstantinos,Mavropanos,West Ham United FC,Defender,28.31,24,1898,1,2.0,-1.0,16,4,6.25,0.13,1898.0
Premier League,122806,John McGinn,John,McGinn,Aston Villa FC,Midfielder,31.46,24,1735,4,2.58,1.42,20,8,20.0,0.13,433.75
Premier League,178301,Ollie Watkins,Ollie,Watkins,Aston Villa FC,Forward,30.26,30,2305,9,10.33,-1.33,62,27,14.52,0.17,256.1111111111111
Premier League,215439,Tomás Soucek,Tomás,Soucek,West Ham United FC,Midfielder,31.1,28,1595,4,4.37,-0.37,18,11,22.22,0.24,398.75
Premier League,244850,Morgan Rogers,Morgan,Rogers,Aston Villa FC,Forward,23.68,31,2757,8,5.8,2.2,72,30,11.11,0.08,344.625
Premier League,158534,Kyle Walker-Peters,Kyle,Walker-Peters,West Ham United FC,Defender,28.97,18,955,1,1.13,-0.13,5,3,20.0,0.23,955.0
Premier League,195546,Emiliano Buendía,Emiliano,Buendía,Aston Villa FC,Midfielder,29.27,29,1457,5,2.92,2.08,40,9,12.5,0.07,291.4
Premier League,88894,Ross Barkley,Ross,Barkley,Aston Villa FC,Midfielder,32.33,14,393,2,0.68,1.32,11,4,18.18,0.06,196.5
Premier League,220362,Axel Disasi,Axel,Disasi,West Ham United FC,Defender,28.06,7,630,0,1.02,-1.02,5,3,0.0,0.2,
Premier League,159533,Adama Traoré,Adama,Traoré,West Ham United FC,Forward,30.19,22,349,0,0.35,-0.35,6,1,0.0,0.06,
Premier League,199798,Ezri Konsa,Ezri,Konsa,Aston Villa FC,Defender,28.44,30,2676,0,1.24,-1.24,11,2,0.0,0.11,
Premier League,244954,Pau Torres,Pau,Torres,Aston Villa FC,Defender,29.21,17,1389,0,0.57,-0.57,7,0,0.0,0.08,
Premier League,551226,Mateus Fernandes,Mateus Gonçalo,Espanha Fernandes,West Ham United FC,Midfielder,21.72,29,2399,3,1.25,1.75,22,5,13.64,0.06,799.6666666666666
Premier League,449871,Amadou Onana,Amadou,Onana,Aston Villa FC,Midfielder,24.62,22,1567,2,1.4,0.6,16,6,12.5,0.09,783.5
Premier League,564940,Soungoutou Magassa,Soungoutou,Magassa,West Ham United FC,Midfielder,22.48,20,972,1,0.44,0.56,7,2,14.29,0.06,972.0
Premier League,536109,Ollie Scarles,Ollie,Scarles,West Ham United FC,Defender,20.3,12,657,0,0.18,-0.18,3,0,0.0,0.06,
Premier League,613804,El Hadji Malick Diouf,El Hadji Malick,Diouf,West Ham United FC,Defender,21.25,25,2097,0,0.46,-0.46,13,2,0.0,0.04,
Premier League,227444,Nikola Milenkovic,Nikola,Milenkovic,Nottingham Forest FC,Defender,28.47,31,2790,0,0.82,-0.82,15,1,0.0,0.05,
Premier League,491279,Micky van de Ven,Micky,van de Ven,Tottenham Hotspur FC,Defender,24.95,28,2413,4,2.5,1.5,15,6,26.67,0.17,603.25
Premier League,210462,Ibrahim Sangaré,Ibrahim,Sangaré,Nottingham Forest FC,Midfielder,28.33,23,1770,2,1.15,0.85,16,5,12.5,0.07,885.0
Premier League,570526,Lucas Bergvall,Lucas,Bergvall,Tottenham Hotspur FC,Midfielder,20.16,18,854,1,1.34,-0.34,11,5,9.09,0.12,854.0
Premier League,232859,Djed Spence,Djed,Spence,Tottenham Hotspur FC,Defender,25.64,24,1812,0,0.86,-0.86,11,7,0.0,0.08,
Premier League,159506,Ola Aina,Ola,Aina,Nottingham Forest FC,Defender,29.48,15,1321,0,0.36,-0.36,11,1,0.0,0.03,
Premier League,212319,Richarlison,Richarlison,de Andrade,Tottenham Hotspur FC,Forward,28.9,26,1504,9,6.26,2.74,45,20,20.0,0.14,167.11111111111111
Premier League,482973,Igor Jesus,Igor Jesus,Maciel da Cruz,Nottingham Forest FC,Forward,25.1,30,1811,3,4.66,-1.66,55,13,5.45,0.08,603.6666666666666
Premier League,493362,Xavi Simons,Xavi,Simons,Tottenham Hotspur FC,Midfielder,22.95,25,1599,1,2.33,-1.33,36,9,2.78,0.06,1599.0
Premier League,503301,Omari Hutchinson,Omari,Hutchinson,Nottingham Forest FC,Forward,22.42,24,1280,1,1.79,-0.79,23,10,4.35,0.08,1280.0
Premier League,222531,Morgan Gibbs-White,Morgan,Gibbs-White,Nottingham Forest FC,Midfielder,26.18,31,2646,9,8.34,0.66,65,23,13.85,0.13,294.0
Premier League,204968,Ryan Yates,Ryan,Yates,Nottingham Forest FC,Midfielder,28.36,16,406,0,0.22,-0.22,5,1,0.0,0.04,
Premier League,493125,Radu Dragusin,Radu,Dragusin,Tottenham Hotspur FC,Defender,24.16,8,513,0,0.32,-0.32,4,0,0.0,0.08,
Premier League,470315,Luca Netz,Luca,Netz,Nottingham Forest FC,Defender,22.88,2,48,0,0.0,0.0,0,0,0.0,0.0,
Premier League,215136,Neco Williams,Neco,Williams,Nottingham Forest FC,Defender,24.97,30,2620,1,1.65,-0.65,35,15,2.86,0.05,2620.0
Premier League,616221,Souza,João Victor,de Souza Menezes,Tottenham Hotspur FC,Defender,19.79,4,144,0,0.02,-0.02,1,1,0.0,0.02,
Premier League,210156,Taiwo Awoniyi,Taiwo,Awoniyi,Nottingham Forest FC,Forward,28.64,12,268,2,1.97,0.03,10,5,20.0,0.2,134.0
Premier League,154566,Dominic Solanke,Dominic,Solanke,Tottenham Hotspur FC,Forward,28.55,12,780,3,1.83,1.17,14,8,21.43,0.13,260.0
Premier League,135720,Kevin Danso,Kevin,Danso,Tottenham Hotspur FC,Defender,27.53,17,931,0,0.26,-0.26,4,1,0.0,0.07,
Premier League,441164,Pedro Porro,Pedro,Porro,Tottenham Hotspur FC,Defender,26.55,27,2168,0,0.59,-0.59,20,2,0.0,0.03,
Premier League,456512,Dan Ndoye,Dan,Ndoye,Nottingham Forest FC,Forward,25.43,23,1175,1,1.06,-0.06,15,4,6.67,0.07,1175.0
Premier League,485047,Morato,Felipe,Rodrigues da Silva,Nottingham Forest FC,Defender,24.75,15,940,0,0.83,-0.83,4,1,0.0,0.21,
Premier League,511499,Mathys Tel,Mathys,Tel,Tottenham Hotspur FC,Forward,20.93,24,898,3,2.0,1.0,27,7,11.11,0.07,299.3333333333333
Premier League,250199,Nicolás Domínguez,Nicolás,Domínguez,Nottingham Forest FC,Midfielder,27.76,20,938,1,1.15,-0.15,16,5,6.25,0.07,938.0
Premier League,247693,Randal Kolo Muani,Randal,Kolo Muani,Tottenham Hotspur FC,Forward,27.32,23,1235,1,1.82,-0.82,15,3,6.67,0.12,1235.0
Premier League,215379,Elliot Anderson,Elliot,Anderson,Nottingham Forest FC,Midfielder,23.4,31,2774,2,2.49,-0.49,36,8,5.56,0.07,1387.0
Premier League,547701,Archie Gray,Archie,Gray,Tottenham Hotspur FC,Midfielder,20.05,21,1377,2,1.43,0.57,10,4,20.0,0.14,688.5
Premier League,575476,Murillo,Murillo Santiago,Costa dos Santos,Nottingham Forest FC,Defender,23.74,23,2001,1,0.61,0.39,10,4,10.0,0.06,2001.0
Premier League,232787,Conor Gallagher,Conor,Gallagher,Tottenham Hotspur FC,Midfielder,26.15,9,588,0,0.56,-0.56,5,2,0.0,0.11,
Premier League,487053,Destiny Udogie,Destiny,Udogie,Tottenham Hotspur FC,Defender,23.34,14,842,0,0.17,-0.17,3,1,0.0,0.06,
Premier League,476887,Dilane Bakwa,Dilane,Bakwa,Nottingham Forest FC,Forward,23.6,10,343,0,0.51,-0.51,8,3,0.0,0.06,
Premier League,209046,Callum Hudson-Odoi,Callum,Hudson-Odoi,Nottingham Forest FC,Forward,25.4,29,1754,3,2.72,0.28,28,10,10.71,0.1,584.6666666666666
Premier League,221632,Cristian Romero,Cristian,Romero,Tottenham Hotspur FC,Defender,27.93,22,1802,4,1.26,2.74,16,6,25.0,0.08,450.5
Premier League,432714,James McAtee,James,McAtee,Nottingham Forest FC,Midfielder,23.45,10,174,0,0.02,-0.02,1,0,0.0,0.02,
Premier League,482442,Pape Matar Sarr,Pape Matar,Sarr,Tottenham Hotspur FC,Midfielder,23.55,22,1322,2,1.54,0.46,16,6,12.5,0.1,661.0
Premier League,154296,João Palhinha,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,Tottenham Hotspur FC,Midfielder,30.73,26,1779,3,1.3,1.7,23,5,13.04,0.06,593.0
Premier League,232826,Anthony Gordon,Anthony,Gordon,Newcastle United FC,Forward,25.1,25,1743,6,8.79,-2.79,47,20,12.77,0.19,290.5
Premier League,599303,Sean Neave,Sean,Neave,Newcastle United FC,Forward,18.84,0,0,0,0.0,0.0,0,0,0.0,0.0,
Premier League,232653,Jacob Ramsey,Jacob,Ramsey,Newcastle United FC,Midfielder,24.84,21,1076,2,1.04,0.96,13,4,15.38,0.08,538.0
Premier League,554197,Chris Rigg,Chris,Rigg,Sunderland AFC,Midfielder,18.78,13,562,0,0.59,-0.59,8,1,0.0,0.07,
Premier League,232356,Jenson Jones,Jenson,Jones,Sunderland AFC,Defender,19.76,0,0,0,0.0,0.0,0,0,0.0,0.0,
Premier League,538207,William Osula,William,Osula,Newcastle United FC,Forward,22.66,17,281,2,0.69,1.31,8,4,25.0,0.09,140.5
Premier League,564406,Eliezer Mayenda,Eliezer,Mayenda,Sunderland AFC,Forward,20.9,19,755,2,2.14,-0.14,13,6,15.38,0.16,377.5
Premier League,201666,Harvey Barnes,Harvey,Barnes,Newcastle United FC,Midfielder,28.31,30,1657,5,6.16,-1.16,50,18,10.0,0.12,331.4
Premier League,470313,Nick Woltemade,Nick,Woltemade,Newcastle United FC,Forward,24.13,27,1674,7,6.39,0.61,31,12,22.58,0.21,239.14285714285714
Premier League,577669,Noah Sadiki,Noah,Sadiki,Sunderland AFC,Midfielder,21.28,26,2295,0,0.6,-0.6,12,4,0.0,0.05,
Premier League,545477,Alex Murphy,Alex,Murphy,Newcastle United FC,Defender,21.76,1,1,0,0.0,0.0,0,0,0.0,0.0,
Premier League,547410,Harrison Jones,Harrison,Jones,Sunderland AFC,Midfielder,21.26,0,0,0,0.0,0.0,0,0,0.0,0.0,
Premier League,449434,Anthony Elanga,Anthony,Elanga,Newcastle United FC,Forward,23.93,27,1217,0,1.46,-1.46,16,4,0.0,0.09,
Premier League,201895,Omar Alderete,Omar,Alderete,Sunderland AFC,Defender,29.27,27,2356,1,1.4,-0.4,19,8,5.26,0.07,2356.0
Premier League,220237,Sven Botman,Sven,Botman,Newcastle United FC,Defender,26.22,18,1208,1,1.43,-0.43,10,4,10.0,0.14,1208.0
